name,note,8v,#/b,clef,score_image,keyboard_full_image,keyboard_octave_image,sound_file,piano_key#,order,tags
C3 Bass,C,3,,bass,"<img src=""piano/images/score/056-28-3-bass-C3-score.png""/>","<img src=""piano/images/keyboard/28-3-C3-keyboard.png""/>","<img src=""piano/images/keyboard-octave/C-keyboard-octave.png""/>",[sound:piano/audio/056-28-3-bass-C3.mp3],28,1,
C3# Bass,C,3,#,bass,"<img src=""piano/images/score/057-29-3-bass-C3#-score.png""/>","<img src=""piano/images/keyboard/29-3-C3#-D3b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/C#-Db-keyboard-octave.png""/>",[sound:piano/audio/057-29-3-bass-C3#.mp3],29,1,
D3b Bass,D,3,b,bass,"<img src=""piano/images/score/060-29-3-bass-D3b-score.png""/>","<img src=""piano/images/keyboard/29-3-C3#-D3b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/C#-Db-keyboard-octave.png""/>",[sound:piano/audio/060-29-3-bass-D3b.mp3],29,1,
D3 Bass,D,3,,bass,"<img src=""piano/images/score/058-30-3-bass-D3-score.png""/>","<img src=""piano/images/keyboard/30-3-D3-keyboard.png""/>","<img src=""piano/images/keyboard-octave/D-keyboard-octave.png""/>",[sound:piano/audio/058-30-3-bass-D3.mp3],30,1,
D3# Bass,D,3,#,bass,"<img src=""piano/images/score/059-31-3-bass-D3#-score.png""/>","<img src=""piano/images/keyboard/31-3-D3#-E3b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/D#-Eb-keyboard-octave.png""/>",[sound:piano/audio/059-31-3-bass-D3#.mp3],31,1,
E3b Bass,E,3,b,bass,"<img src=""piano/images/score/062-31-3-bass-E3b-score.png""/>","<img src=""piano/images/keyboard/31-3-D3#-E3b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/D#-Eb-keyboard-octave.png""/>",[sound:piano/audio/062-31-3-bass-E3b.mp3],31,1,
E3 Bass,E,3,,bass,"<img src=""piano/images/score/061-32-3-bass-E3-score.png""/>","<img src=""piano/images/keyboard/32-3-E3-keyboard.png""/>","<img src=""piano/images/keyboard-octave/E-keyboard-octave.png""/>",[sound:piano/audio/061-32-3-bass-E3.mp3],32,1,
F3 Bass,F,3,,bass,"<img src=""piano/images/score/063-33-3-bass-F3-score.png""/>","<img src=""piano/images/keyboard/33-3-F3-keyboard.png""/>","<img src=""piano/images/keyboard-octave/F-keyboard-octave.png""/>",[sound:piano/audio/063-33-3-bass-F3.mp3],33,1,
F3# Bass,F,3,#,bass,"<img src=""piano/images/score/064-34-3-bass-F3#-score.png""/>","<img src=""piano/images/keyboard/34-3-F3#-G3b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/F#-Gb-keyboard-octave.png""/>",[sound:piano/audio/064-34-3-bass-F3#.mp3],34,1,
G3b Bass,G,3,b,bass,"<img src=""piano/images/score/067-34-3-bass-G3b-score.png""/>","<img src=""piano/images/keyboard/34-3-F3#-G3b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/F#-Gb-keyboard-octave.png""/>",[sound:piano/audio/067-34-3-bass-G3b.mp3],34,1,
