name,note,8v,#/b,clef,score_image_front,score_image_back,keyboard_full_image_front,keyboard_full_image_back,keyboard_octave_image,keyboard_blank_image,sound_file,piano_key#,order,tags
F3 treble,F,3,,treble,"<img src=""piano-score-front-046-33-3-treble-F3.png""/>","<img src=""piano-score-back-046-33-3-treble-F3.png""/>","<img src=""piano-keyboard-front-33-3-F3.png""/>","<img src=""piano-keyboard-back-33-3-F3.png""/>","<img src=""piano-keyboard-octave-back-F.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-046-33-3-treble-F3.mp3],33,3,
F3# treble,F,3,#,treble,"<img src=""piano-score-front-047-34-3-treble-F3#.png""/>","<img src=""piano-score-back-047-34-3-treble-F3#.png""/>","<img src=""piano-keyboard-front-34-3-F3#-G3b.png""/>","<img src=""piano-keyboard-back-34-3-F3#-G3b.png""/>","<img src=""piano-keyboard-octave-back-F#-Gb.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-047-34-3-treble-F3#.mp3],34,3,
G3b treble,G,3,b,treble,"<img src=""piano-score-front-050-34-3-treble-G3b.png""/>","<img src=""piano-score-back-050-34-3-treble-G3b.png""/>","<img src=""piano-keyboard-front-34-3-F3#-G3b.png""/>","<img src=""piano-keyboard-back-34-3-F3#-G3b.png""/>","<img src=""piano-keyboard-octave-back-F#-Gb.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-050-34-3-treble-G3b.mp3],34,3,
G3 treble,G,3,,treble,"<img src=""piano-score-front-048-35-3-treble-G3.png""/>","<img src=""piano-score-back-048-35-3-treble-G3.png""/>","<img src=""piano-keyboard-front-35-3-G3.png""/>","<img src=""piano-keyboard-back-35-3-G3.png""/>","<img src=""piano-keyboard-octave-back-G.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-048-35-3-treble-G3.mp3],35,3,
G3# treble,G,3,#,treble,"<img src=""piano-score-front-049-36-3-treble-G3#.png""/>","<img src=""piano-score-back-049-36-3-treble-G3#.png""/>","<img src=""piano-keyboard-front-36-3-G3#-A3b.png""/>","<img src=""piano-keyboard-back-36-3-G3#-A3b.png""/>","<img src=""piano-keyboard-octave-back-G#-Ab.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-049-36-3-treble-G3#.mp3],36,3,
A3b treble,A,3,b,treble,"<img src=""piano-score-front-053-36-3-treble-A3b.png""/>","<img src=""piano-score-back-053-36-3-treble-A3b.png""/>","<img src=""piano-keyboard-front-36-3-G3#-A3b.png""/>","<img src=""piano-keyboard-back-36-3-G3#-A3b.png""/>","<img src=""piano-keyboard-octave-back-G#-Ab.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-053-36-3-treble-A3b.mp3],36,3,
A3 treble,A,3,,treble,"<img src=""piano-score-front-051-37-3-treble-A3.png""/>","<img src=""piano-score-back-051-37-3-treble-A3.png""/>","<img src=""piano-keyboard-front-37-3-A3.png""/>","<img src=""piano-keyboard-back-37-3-A3.png""/>","<img src=""piano-keyboard-octave-back-A.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-051-37-3-treble-A3.mp3],37,3,
A3# treble,A,3,#,treble,"<img src=""piano-score-front-052-38-3-treble-A3#.png""/>","<img src=""piano-score-back-052-38-3-treble-A3#.png""/>","<img src=""piano-keyboard-front-38-3-A3#-B3b.png""/>","<img src=""piano-keyboard-back-38-3-A3#-B3b.png""/>","<img src=""piano-keyboard-octave-back-A#-Bb.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-052-38-3-treble-A3#.mp3],38,3,
B3b treble,B,3,b,treble,"<img src=""piano-score-front-055-38-3-treble-B3b.png""/>","<img src=""piano-score-back-055-38-3-treble-B3b.png""/>","<img src=""piano-keyboard-front-38-3-A3#-B3b.png""/>","<img src=""piano-keyboard-back-38-3-A3#-B3b.png""/>","<img src=""piano-keyboard-octave-back-A#-Bb.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-055-38-3-treble-B3b.mp3],38,3,
B3 treble,B,3,,treble,"<img src=""piano-score-front-054-39-3-treble-B3.png""/>","<img src=""piano-score-back-054-39-3-treble-B3.png""/>","<img src=""piano-keyboard-front-39-3-B3.png""/>","<img src=""piano-keyboard-back-39-3-B3.png""/>","<img src=""piano-keyboard-octave-back-B.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-054-39-3-treble-B3.mp3],39,3,
C3 bass,C,3,,bass,"<img src=""piano-score-front-056-28-3-bass-C3.png""/>","<img src=""piano-score-back-056-28-3-bass-C3.png""/>","<img src=""piano-keyboard-front-28-3-C3.png""/>","<img src=""piano-keyboard-back-28-3-C3.png""/>","<img src=""piano-keyboard-octave-back-C.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-056-28-3-bass-C3.mp3],28,1,
C3# bass,C,3,#,bass,"<img src=""piano-score-front-057-29-3-bass-C3#.png""/>","<img src=""piano-score-back-057-29-3-bass-C3#.png""/>","<img src=""piano-keyboard-front-29-3-C3#-D3b.png""/>","<img src=""piano-keyboard-back-29-3-C3#-D3b.png""/>","<img src=""piano-keyboard-octave-back-C#-Db.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-057-29-3-bass-C3#.mp3],29,1,
D3b bass,D,3,b,bass,"<img src=""piano-score-front-060-29-3-bass-D3b.png""/>","<img src=""piano-score-back-060-29-3-bass-D3b.png""/>","<img src=""piano-keyboard-front-29-3-C3#-D3b.png""/>","<img src=""piano-keyboard-back-29-3-C3#-D3b.png""/>","<img src=""piano-keyboard-octave-back-C#-Db.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-060-29-3-bass-D3b.mp3],29,1,
D3 bass,D,3,,bass,"<img src=""piano-score-front-058-30-3-bass-D3.png""/>","<img src=""piano-score-back-058-30-3-bass-D3.png""/>","<img src=""piano-keyboard-front-30-3-D3.png""/>","<img src=""piano-keyboard-back-30-3-D3.png""/>","<img src=""piano-keyboard-octave-back-D.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-058-30-3-bass-D3.mp3],30,1,
D3# bass,D,3,#,bass,"<img src=""piano-score-front-059-31-3-bass-D3#.png""/>","<img src=""piano-score-back-059-31-3-bass-D3#.png""/>","<img src=""piano-keyboard-front-31-3-D3#-E3b.png""/>","<img src=""piano-keyboard-back-31-3-D3#-E3b.png""/>","<img src=""piano-keyboard-octave-back-D#-Eb.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-059-31-3-bass-D3#.mp3],31,1,
E3b bass,E,3,b,bass,"<img src=""piano-score-front-062-31-3-bass-E3b.png""/>","<img src=""piano-score-back-062-31-3-bass-E3b.png""/>","<img src=""piano-keyboard-front-31-3-D3#-E3b.png""/>","<img src=""piano-keyboard-back-31-3-D3#-E3b.png""/>","<img src=""piano-keyboard-octave-back-D#-Eb.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-062-31-3-bass-E3b.mp3],31,1,
E3 bass,E,3,,bass,"<img src=""piano-score-front-061-32-3-bass-E3.png""/>","<img src=""piano-score-back-061-32-3-bass-E3.png""/>","<img src=""piano-keyboard-front-32-3-E3.png""/>","<img src=""piano-keyboard-back-32-3-E3.png""/>","<img src=""piano-keyboard-octave-back-E.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-061-32-3-bass-E3.mp3],32,1,
F3 bass,F,3,,bass,"<img src=""piano-score-front-063-33-3-bass-F3.png""/>","<img src=""piano-score-back-063-33-3-bass-F3.png""/>","<img src=""piano-keyboard-front-33-3-F3.png""/>","<img src=""piano-keyboard-back-33-3-F3.png""/>","<img src=""piano-keyboard-octave-back-F.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-063-33-3-bass-F3.mp3],33,1,
