name,octave,clef,treble_note,treble_octaves,treble_octaves_hidden,bass_note,bass_octaves,bass_octaves_hidden,order,filename
F3#,3,bass,r2,r1,r1,r4 fis4,"r4 fis,4 fis4 fis'4","r4 \hideNotes fis,4 fis4 fis'4",1,064-34-3-bass-F3#
G3b,3,bass,r2,r1,r1,r4 ges4,"r4 ges,4 ges4 ges'4","r4 \hideNotes ges,4 ges4 ges'4",1,067-34-3-bass-G3b
G3,3,bass,r2,r1,r1,r4 g4,"r4 g,4 g4 g'4","r4 \hideNotes g,4 g4 g'4",1,065-35-3-bass-G3
G3#,3,bass,r2,r1,r1,r4 gis4,"r4 gis,4 gis4 gis'4","r4 \hideNotes gis,4 gis4 gis'4",1,066-36-3-bass-G3#
A3b,3,bass,r2,r1,r1,r4 aes4,"r4 aes,4 aes4 aes'4","r4 \hideNotes aes,4 aes4 aes'4",1,070-36-3-bass-A3b
A3,3,bass,r2,r1,r1,r4 a4,"r4 a,4 a4 a'4","r4 \hideNotes a,4 a4 a'4",1,068-37-3-bass-A3
A3#,3,bass,r2,r1,r1,r4 ais4,"r4 ais,4 ais4 ais'4","r4 \hideNotes ais,4 ais4 ais'4",1,069-38-3-bass-A3#
B3b,3,bass,r2,r1,r1,r4 bes4,"r4 bes,4 bes4 bes'4","r4 \hideNotes bes,4 bes4 bes'4",1,072-38-3-bass-B3b
B3,3,bass,r2,r1,r1,r4 b4,"r4 b,4 b4 b'4","r4 \hideNotes b,4 b4 b'4",1,071-39-3-bass-B3
C4,4,treble,r4 c'4,r4 c4 c'4 c''4,r4 \hideNotes c4 c'4 c''4,r2,r1,r1,0,073-40-4-treble-C4
C4#,4,treble,r4 cis'4,r4 cis4 cis'4 cis''4,r4 \hideNotes cis4 cis'4 cis''4,r2,r1,r1,0,074-41-4-treble-C4#
D4b,4,treble,r4 des'4,r4 des4 des'4 des''4,r4 \hideNotes des4 des'4 des''4,r2,r1,r1,0,077-41-4-treble-D4b
D4,4,treble,r4 d'4,r4 d4 d'4 d''4,r4 \hideNotes d4 d'4 d''4,r2,r1,r1,0,075-42-4-treble-D4
D4#,4,treble,r4 dis'4,r4 dis4 dis'4 dis''4,r4 \hideNotes dis4 dis'4 dis''4,r2,r1,r1,0,076-43-4-treble-D4#
E4b,4,treble,r4 ees'4,r4 ees4 ees'4 ees''4,r4 \hideNotes ees4 ees'4 ees''4,r2,r1,r1,0,079-43-4-treble-E4b
E4,4,treble,r4 e'4,r4 e4 e'4 e''4,r4 \hideNotes e4 e'4 e''4,r2,r1,r1,0,078-44-4-treble-E4
F4,4,treble,r4 f'4,r4 f4 f'4 f''4,r4 \hideNotes f4 f'4 f''4,r2,r1,r1,0,080-45-4-treble-F4
